2113,12-13-2010,98.9800,98.9800,96.4200,96.7000,716700,0.0
2112,12-14-2010,96.9900,97.1200,95.5100,95.8200,398800,0.0
2111,12-15-2010,95.7700,99.0600,95.7000,96.7800,488500,0.0
2110,12-16-2010,96.9400,98.5900,96.4500,98.5300,357300,0.0
2109,12-17-2010,98.6000,99.8400,98.3300,99.2600,820600,0.0
2108,12-20-2010,99.5600,99.8400,98.6500,99.4000,558800,0.0
2107,12-21-2010,99.8700,101.9800,99.7500,101.8600,449100,0.0
2106,12-22-2010,101.8900,102.0599,100.3800,101.1400,374700,0.0
2105,12-23-2010,101.1600,101.2700,99.3600,99.8100,377500,0.0
2104,12-27-2010,99.3500,100.0800,98.8400,100.0800,246500,0.0
2103,12-28-2010,100.3500,100.5100,99.3800,99.7400,133000,0.0
2102,12-29-2010,99.9000,100.3400,99.0412,99.7100,163700,0.0
2101,12-30-2010,99.8100,100.1800,98.6600,98.7800,234300,0.0
2100,12-31-2010,98.8300,100.0500,98.3600,99.2200,277600,0.0
2099,1-3-2011,100.3200,102.6700,100.3200,100.6800,576100,0.0
2098,1-4-2011,100.7400,101.0700,98.4300,99.0200,282500,0.0
2097,1-5-2011,98.7800,99.6500,98.7800,99.2500,315600,0.0
2096,1-6-2011,99.7100,100.1500,99.1800,100.0000,413300,0.0
2095,1-7-2011,100.2900,101.2900,98.6800,99.5900,288200,0.0
2094,1-10-2011,99.2800,103.5500,99.2800,103.2500,423200,0.0
2093,1-11-2011,103.8700,104.3800,102.2100,102.7900,244000,0.0
2092,1-12-2011,103.6300,104.5400,101.8000,104.5200,275100,0.0
2091,1-13-2011,104.7100,106.8200,104.0200,105.8700,647800,0.0
2090,1-14-2011,105.4600,105.7500,104.4000,104.7700,483300,0.0
2089,1-18-2011,104.7500,104.9300,101.5100,103.9800,629300,0.0
2088,1-19-2011,104.1500,104.3000,101.7100,102.1200,1028300,0.0
2087,1-20-2011,101.9000,102.5100,99.2100,100.1900,647200,0.0
2086,1-21-2011,100.3400,101.7600,100.0200,100.4500,577600,0.0
2085,1-24-2011,100.4500,101.6100,100.4500,100.9600,416100,0.0
2084,1-25-2011,100.6500,100.6500,97.9600,99.6300,624400,0.0
2083,1-26-2011,99.7300,102.4900,99.6000,101.3700,517800,0.0
2082,1-27-2011,101.5200,104.7600,101.4900,104.5800,359400,0.0
2081,1-28-2011,104.9600,105.9000,100.7600,101.7700,486500,0.0
2080,1-31-2011,102.0600,103.0200,101.3800,101.8300,410800,0.0
2079,2-1-2011,102.6800,103.3500,99.7100,100.0100,1081500,0.0
2078,2-2-2011,99.8700,102.1700,99.0000,100.4100,490700,0.0
2077,2-3-2011,99.8000,99.8400,96.9000,99.0200,481600,0.0
2076,2-4-2011,99.0200,100.4400,98.7200,99.7500,409400,0.0
2075,2-7-2011,99.9500,102.7800,99.9500,101.8300,358800,0.0
2074,2-8-2011,101.8300,102.3500,100.8900,101.1600,289500,0.0
2073,2-9-2011,101.0100,102.4500,100.6600,101.5200,346500,0.0
2072,2-10-2011,101.1100,104.8200,100.5200,104.4900,463400,0.0
2071,2-11-2011,104.0200,108.7700,104.0200,108.6000,624200,0.0
2070,2-14-2011,108.3300,110.3400,107.8000,110.1300,552500,0.0
2069,2-15-2011,109.2000,110.7900,109.2000,109.7000,579700,0.0
2068,2-16-2011,109.9200,112.8600,109.5600,111.9000,644600,0.0
2067,2-17-2011,111.2200,111.8000,110.9600,111.3900,474400,0.0
2066,2-18-2011,111.5400,112.4100,111.0500,112.2000,219900,0.0
2065,2-22-2011,109.9700,112.1800,107.2000,107.2200,721600,0.0
2064,2-23-2011,107.6000,108.0500,102.1400,104.3000,590900,0.0
2063,2-24-2011,104.7900,106.1100,102.6501,104.6100,438900,0.0
2062,2-25-2011,105.5100,107.3500,105.4300,107.0000,291200,0.0
2061,2-28-2011,107.0000,108.1600,105.5000,106.7500,222000,0.0
2060,3-1-2011,106.7300,107.1900,103.7000,103.7600,260800,0.0
2059,3-2-2011,103.5100,105.6300,103.3200,104.4700,235900,0.0
2058,3-3-2011,106.1800,109.3600,105.9800,109.2800,376300,0.0
2057,3-4-2011,106.1300,109.7700,106.1300,107.4200,357700,0.0
2056,3-7-2011,107.6400,108.8600,104.1800,104.9500,221700,0.0
2055,3-8-2011,105.0700,107.2200,103.9400,106.6400,232700,0.0
2054,3-9-2011,106.6100,107.5900,105.8200,107.1400,230800,0.0
2053,3-10-2011,105.1900,105.4900,103.7900,104.0300,330200,0.0
2052,3-11-2011,103.1700,105.3200,102.5900,105.0000,203800,0.0
2051,3-14-2011,103.9900,104.8700,101.8900,102.7500,221700,0.0
2050,3-15-2011,102.1900,102.1900,98.0100,100.7000,534800,0.0
2049,3-16-2011,100.4100,100.8400,97.2200,98.4100,486000,0.0
2048,3-17-2011,100.2700,101.2400,98.0600,98.5700,379500,0.0
2047,3-18-2011,99.9300,101.0600,99.1500,100.1700,392600,0.0
2046,3-21-2011,101.8100,103.9340,101.4400,103.3100,472500,0.0
2045,3-22-2011,103.5400,105.3500,103.2100,105.1000,453900,0.0
2044,3-23-2011,104.5200,105.4600,102.6500,105.2400,363700,0.0
2043,3-24-2011,105.8300,106.4700,104.0300,106.2400,317800,0.0
2042,3-25-2011,106.5200,107.6800,105.5500,105.7900,342400,0.0
2041,3-28-2011,106.2000,106.5600,105.4300,105.6400,204100,0.0
2040,3-29-2011,105.6100,106.7875,104.2700,106.2800,269900,0.0
2039,3-30-2011,107.2200,108.8100,106.9600,108.4400,229000,0.0
2038,3-31-2011,108.0000,109.6900,107.6900,109.3700,373300,0.0
2037,4-1-2011,109.8800,111.9200,108.8000,110.8500,421300,0.0
2036,4-4-2011,110.9300,112.3500,110.9300,112.0600,267800,0.0
2035,4-5-2011,111.5300,112.4700,110.8900,111.5800,250300,0.0
2034,4-6-2011,112.5600,112.5600,109.9900,111.7000,324000,0.0
2033,4-7-2011,111.4500,112.9800,110.9200,111.8100,277700,0.0
2032,4-8-2011,112.7600,113.0000,108.9900,109.7400,399700,0.0
2031,4-11-2011,108.6600,110.0400,105.6900,105.7500,633000,0.0
2030,4-12-2011,105.3600,106.2000,103.6200,103.6800,556900,0.0
2029,4-13-2011,104.1300,104.7400,102.4200,103.7100,770100,0.0
2028,4-14-2011,103.1000,103.9900,102.3200,102.5400,620900,0.0
2027,4-15-2011,103.0000,104.7800,102.5900,104.4100,707300,0.0
2026,4-18-2011,102.8400,102.8500,100.5500,101.8200,787600,0.0
