2113,12-13-2010,176.3300,177.9400,173.7300,174.2500,4202500,0.0
2112,12-14-2010,174.2800,175.7600,173.0900,173.9400,3685300,0.0
2111,12-15-2010,173.7200,179.0000,173.5909,175.5700,5810500,0.0
2110,12-16-2010,175.5800,178.3000,175.0400,178.0400,4121500,0.0
2109,12-17-2010,178.4100,178.7500,177.0200,177.5800,4507300,0.0
2108,12-20-2010,179.2700,183.9800,178.0400,183.2900,8735300,0.0
2107,12-21-2010,183.8800,185.6500,182.6001,184.7500,5111000,0.0
2106,12-22-2010,185.0000,185.4500,184.1100,184.7600,2578100,0.0
2105,12-23-2010,184.3400,184.9800,181.8905,182.5900,3358200,0.0
2104,12-27-2010,181.9019,183.1400,180.4500,182.1400,2249400,0.0
2103,12-28-2010,182.1000,182.7700,181.0500,181.0900,1975000,0.0
2102,12-29-2010,181.8000,184.3500,180.4100,183.3700,3120100,0.0
2101,12-30-2010,183.9200,184.5500,182.7500,182.7500,1961200,0.0
2100,12-31-2010,181.9600,182.3000,179.5100,180.0000,3451900,0.0
2099,1-3-2011,181.3700,186.0000,181.2100,184.2200,5331400,0.0
2098,1-4-2011,186.1500,187.6995,183.7800,185.0100,5031800,0.0
2097,1-5-2011,184.1000,187.4500,184.0700,187.4200,3418800,0.0
2096,1-6-2011,186.5000,187.4100,185.2500,185.8600,3179700,0.0
2095,1-7-2011,187.8800,188.4500,183.7400,185.4900,5221700,0.0
2094,1-10-2011,185.0400,185.2900,182.5100,184.6800,3375900,0.0
2093,1-11-2011,185.4200,186.0000,183.2100,184.3400,2814200,0.0
2092,1-12-2011,185.3600,185.3800,183.3000,184.0800,2679100,0.0
2091,1-13-2011,183.6000,186.4500,183.5100,185.5300,3367000,0.0
2090,1-14-2011,185.5000,188.9400,184.9200,188.7500,3662800,0.0
2089,1-18-2011,188.6600,191.6000,188.2500,191.2500,3896200,0.0
2088,1-19-2011,190.9000,191.0000,186.2100,186.8700,3882400,0.0
2087,1-20-2011,185.2900,186.8500,181.0000,181.9600,5709900,0.0
2086,1-21-2011,183.0001,183.2500,176.8400,177.4200,6806200,0.0
2085,1-24-2011,177.9500,178.4900,174.1475,176.8500,5600300,0.0
2084,1-25-2011,175.5017,176.7500,174.2800,176.7000,4651000,0.0
2083,1-26-2011,177.5100,177.8900,174.6300,175.3900,3762200,0.0
2082,1-27-2011,177.4800,185.0000,177.3100,184.4500,14594400,0.0
2081,1-28-2011,171.4500,173.7100,166.9000,171.1400,19908200,0.0
2080,1-31-2011,170.1600,171.4400,167.4100,169.6400,6718100,0.0
2079,2-1-2011,170.5200,173.1000,169.5100,172.1100,5085900,0.0
2078,2-2-2011,171.4200,175.2000,170.8700,173.5300,4547500,0.0
2077,2-3-2011,173.5000,174.6700,171.9500,173.7100,3678900,0.0
2076,2-4-2011,174.0000,177.1900,173.7500,175.9300,4347800,0.0
2075,2-7-2011,176.1500,177.5500,174.7700,176.4300,5254700,0.0
2074,2-8-2011,176.6600,183.1100,176.5900,183.0600,7794900,0.0
2073,2-9-2011,183.1500,186.4700,182.2600,185.3000,8312700,0.0
2072,2-10-2011,184.3900,187.2400,183.6000,186.2100,5331400,0.0
2071,2-11-2011,185.5619,189.5000,185.3700,189.2500,4487900,0.0
2070,2-14-2011,189.2500,191.4000,188.3500,190.4200,4061300,0.0
2069,2-15-2011,188.7300,190.4900,188.2500,189.0300,3890900,0.0
2068,2-16-2011,189.7700,190.0000,186.3500,186.6200,4628200,0.0
2067,2-17-2011,185.7700,189.0900,185.3100,187.7600,3425500,0.0
2066,2-18-2011,187.5400,188.5000,185.1300,186.5000,4178600,0.0
2065,2-22-2011,183.6800,184.7200,179.3200,180.4200,5637100,0.0
2064,2-23-2011,180.2500,181.1500,174.3900,176.6800,5482000,0.0
2063,2-24-2011,176.8600,179.7500,174.5600,177.7500,4656500,0.0
2062,2-25-2011,178.9500,180.7500,177.1000,177.2400,4191400,0.0
2061,2-28-2011,173.9100,175.8900,172.1500,173.2900,6783200,0.0
2060,3-1-2011,173.5300,173.9600,168.6700,169.4400,5847100,0.0
2059,3-2-2011,169.0900,173.3000,168.3500,172.0200,5185700,0.0
2058,3-3-2011,173.7100,174.4600,172.0500,172.7900,4138200,0.0
2057,3-4-2011,172.6200,172.7500,169.5100,171.6700,4924300,0.0
2056,3-7-2011,171.9200,172.0900,166.2400,169.0800,5932900,0.0
2055,3-8-2011,169.3900,169.7100,166.7200,166.8900,4219000,0.0
2054,3-9-2011,166.6700,169.7500,163.9000,169.0500,7108900,0.0
2053,3-10-2011,167.0700,168.4700,164.8200,166.1400,5998400,0.0
2052,3-11-2011,165.5000,169.2000,164.1200,168.0700,4609900,0.0
2051,3-14-2011,166.6000,168.0800,164.5700,166.7300,4022000,0.0
2050,3-15-2011,161.3900,166.8800,160.7600,165.0800,4934500,0.0
2049,3-16-2011,164.7000,168.1400,162.8701,164.7000,5208100,0.0
2048,3-17-2011,165.9100,166.3000,160.7800,160.9700,6471400,0.0
2047,3-18-2011,161.1900,163.5400,160.5900,161.8200,7442700,0.0
2046,3-21-2011,163.3700,165.7900,161.7200,164.5250,4055100,0.0
2045,3-22-2011,164.0700,164.4400,162.2500,162.6000,3611400,0.0
2044,3-23-2011,162.3000,166.2600,160.8200,165.3200,4721300,0.0
2043,3-24-2011,168.2100,172.0000,167.3600,171.1000,6283200,0.0
2042,3-25-2011,171.6400,173.4900,170.3000,170.9800,4293800,0.0
2041,3-28-2011,171.8000,172.5000,169.2500,169.3500,3400800,0.0
2040,3-29-2011,170.7300,174.8400,170.0700,174.6200,4884600,0.0
2039,3-30-2011,177.7800,181.1600,177.6600,179.4200,6859300,0.0
2038,3-31-2011,179.3100,181.5700,178.5000,180.1300,4826500,0.0
2037,4-1-2011,181.5800,183.2500,178.5900,180.1300,5684100,0.0
2036,4-4-2011,180.8900,183.6100,180.6900,182.9400,4186400,0.0
2035,4-5-2011,182.1050,186.3600,181.8000,185.2900,5569200,0.0
2034,4-6-2011,186.1500,188.2700,181.1200,182.7600,5430700,0.0
2033,4-7-2011,182.7800,185.1700,181.7600,184.9100,4564000,0.0
2032,4-8-2011,185.2600,186.2200,182.7800,184.7100,3726400,0.0
2031,4-11-2011,184.8600,186.4900,181.8500,184.0400,3297100,0.0
2030,4-12-2011,183.0600,184.5900,179.4200,180.4800,5334500,0.0
2029,4-13-2011,180.8300,182.8800,179.8000,182.2900,4216300,0.0
2028,4-14-2011,181.3900,182.0800,179.3600,181.8200,3588200,0.0
2027,4-15-2011,181.0000,181.7800,179.0196,180.0100,4272400,0.0
2026,4-18-2011,178.3800,178.9100,175.3700,178.3400,4616500,0.0
2025,4-19-2011,178.3500,179.4700,176.6000,178.8200,2646000,0.0
2024,4-20-2011,181.6200,185.0000,181.5900,183.8700,4067500,0.0
2023,4-21-2011,184.5600,185.9700,183.0460,185.8900,3348100,0.0
2022,4-25-2011,185.6500,186.3500,183.7700,185.4200,3438100,0.0
2021,4-26-2011,186.2700,186.4200,180.7380,182.3000,11200000,0.0
2020,4-27-2011,183.2000,197.8000,182.7500,196.6300,23623000,0.0
2019,4-28-2011,195.9600,196.7900,192.2700,195.0700,7300000,0.0
2018,4-29-2011,194.3800,196.5900,193.7800,195.8100,6640900,0.0
2017,5-2-2011,196.5700,203.4200,196.1800,201.1900,9398100,0.0
2016,5-3-2011,201.0000,202.5900,196.6900,198.4500,6100000,0.0
2015,5-4-2011,198.2500,201.8600,195.3700,199.9700,6550000,0.0
2014,5-5-2011,198.6600,201.0000,196.1200,197.1100,4600000,0.0
2013,5-6-2011,199.1000,199.5600,196.5600,197.6000,4013900,0.0
2012,5-9-2011,198.3400,202.3600,196.7800,200.8000,5825400,0.0
2011,5-10-2011,201.9400,205.2900,201.5600,203.9400,5885900,0.0
2010,5-11-2011,203.1200,205.5000,202.2500,204.3800,4809000,0.0
2009,5-12-2011,204.2200,206.1852,200.6200,206.0700,4800000,0.0
2008,5-13-2011,205.7000,206.3900,202.3600,202.5600,4123700,0.0
2007,5-16-2011,200.5400,200.9000,191.3700,192.5100,9386400,0.0
2006,5-17-2011,191.8166,195.9800,191.7600,194.8100,7073300,0.0
2005,5-18-2011,194.1300,198.2830,193.2500,197.0900,4955800,0.0
2004,5-19-2011,198.3300,199.9500,197.5500,198.8050,3701200,0.0
2003,5-20-2011,197.9500,199.8000,197.2400,198.6500,3381000,0.0
2002,5-23-2011,195.5600,197.2900,192.0200,196.2200,4200000,0.0
2001,5-24-2011,197.0000,197.0000,193.0000,193.2700,2972700,0.0
2000,5-25-2011,193.5700,194.3500,191.1400,192.2600,4661300,0.0
1999,5-26-2011,191.2400,196.4500,190.8800,195.0000,4075200,0.0
1998,5-27-2011,194.7600,196.1200,193.5000,194.1300,2352600,0.0
1997,5-31-2011,195.9400,198.4400,195.0300,196.6900,3409000,0.0
1996,6-1-2011,196.0600,197.2600,192.0500,192.3950,3445200,0.0
1995,6-2-2011,192.2800,194.4400,190.5600,193.6500,3044900,0.0
1994,6-3-2011,191.2300,193.2100,187.6200,188.3200,4974500,0.0
1993,6-6-2011,187.2200,189.8500,185.1800,185.6900,3716000,0.0
1992,6-7-2011,185.7200,190.6300,185.5200,187.5500,4866500,0.0
1991,6-8-2011,187.4499,189.8100,186.3200,188.0500,3716600,0.0
1990,6-9-2011,189.7400,191.7600,185.7100,189.6800,4187300,0.0
1989,6-10-2011,189.2500,190.7700,186.2800,186.5300,3760400,0.0
1988,6-13-2011,186.8100,189.3100,184.8600,186.2900,3868900,0.0
1987,6-14-2011,188.9900,190.7200,187.0700,189.9600,3960300,0.0
1986,6-15-2011,188.0400,192.4500,185.3000,185.9800,6317700,0.0
1985,6-16-2011,185.7400,187.0000,181.5900,183.6500,6032100,0.0
1984,6-17-2011,186.5100,187.3900,184.6400,186.3700,6322200,0.0
1983,6-20-2011,185.9600,188.8520,185.5700,187.7200,2831700,0.0
1982,6-21-2011,188.3000,195.0000,187.1200,194.2300,4182600,0.0
1981,6-22-2011,193.9600,195.2000,191.3200,191.6300,3129700,0.0
1980,6-23-2011,189.5000,194.4600,188.3000,194.1600,4609600,0.0
1979,6-24-2011,193.8800,194.9200,191.3500,192.5500,3614500,0.0
1978,6-27-2011,194.5000,202.5800,194.0300,201.2500,6100700,0.0
1977,6-28-2011,201.9200,202.8800,200.6000,202.3500,3825300,0.0
1976,6-29-2011,202.6700,206.2500,201.0300,204.1800,4608900,0.0
1975,6-30-2011,200.7800,205.2000,200.5000,204.4900,4448100,0.0
1974,7-1-2011,205.5500,210.2700,203.6100,209.4900,4008700,0.0
1973,7-5-2011,208.7600,214.4500,208.7300,213.1900,3585200,0.0
1972,7-6-2011,212.1200,214.4000,211.0101,214.1900,2607600,0.0
1971,7-7-2011,215.0900,217.8000,215.0900,216.7400,3144900,0.0
1970,7-8-2011,214.3000,218.3200,213.2500,218.2800,3707900,0.0
1969,7-11-2011,216.7400,217.5000,211.0000,212.5500,4033700,0.0
1968,7-12-2011,214.6400,215.6500,211.1200,211.2300,3985700,0.0
1967,7-13-2011,214.7000,216.8300,212.1400,213.5000,4229900,0.0
1966,7-14-2011,213.5800,215.9100,209.3800,210.3800,3902500,0.0
1965,7-15-2011,213.0800,214.5300,209.2900,212.8700,4072600,0.0
1964,7-18-2011,212.5300,213.3900,208.2900,211.5300,2898100,0.0
1963,7-19-2011,213.7700,218.4000,213.7700,218.0600,4437200,0.0
1962,7-20-2011,220.0500,220.2000,214.4100,215.5500,3372900,0.0
1961,7-21-2011,216.7400,217.0900,211.0700,213.2100,4545300,0.0
1960,7-22-2011,213.8600,217.9490,211.1100,216.5200,3591700,0.0
1959,7-25-2011,215.4900,216.0800,213.0000,213.4900,3342800,0.0
1958,7-26-2011,214.9900,215.6000,210.3500,214.1800,9863600,0.0
1957,7-27-2011,224.3900,227.2000,219.6200,222.5180,12955600,0.0
